OBJECTID,PARK_NAME,PARK_ACRE,REGION,OPS_DIST,PARK_TYPE,OLMSTED,PARK_WEB,FULLADDR,PUBLIC_,RESTROOM,CONFERENCE,PICNIC,CAMPING,SWIMMING,HIKING,FISHING,PLAYGROUND,GOLF,SOCCER,BASEBALL,BASKETBALL,FOOTBALL,TENNIS,HORSEBACK,VOLLEYBALL,WALKING,MULTIFIELD,SPRAYPADS,SPRAYGRND,COMMUNITY,SPECIAL,SKATEPARK,SHAPEAREA,SHAPELEN
34,SENECA GOLF COURSE,200.89560646,,GOLF,GOLF COURSE,YES,https://louisvilleky.gov/content/seneca-golf-course, 2300 PEE WEE REESE RD,,,,,,,,,,YES,,,,,,,,,,,,,,,8750977.61353125,16964.9804412432
35,CHARLES YOUNG,0.54252411,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/charles-young-park,2721 LYTLE ST,,,,,,,,,YES,,,,,,,,,,,,,,,,23632.25578125,628.025437402043
36,ROBERSON RUN,13.79232341,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/roberson-run,8205 JUDGE BLVD,,,,,,,,,,,,,,,,,,YES,,,,,,,600791.20445,3307.72608741915
37,IROQUOIS GOLF COURSE,134.90475608,,GOLF,GOLF COURSE,YES,https://louisvilleky.gov/content/iroquois-golf-course,1501 RUNDILL RD,,,,,,,,,,,,,,,,,,,,,,,,,5876427.66908203,13198.4467854882
38,NORFOLK ACRES,3.53493824,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/norfolk-acres-park, 4300 CORAM WAY,,,,YES,,,,,YES,,,,YES,,,,,YES,YES,,,,HORSESHOE PIT,,153981.294,2141.15801146865
39,CALIFORNIA,7.45611917,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/california-park,1104 SOUTH 16TH ST,,,,,,,,,YES,,,YES,,,YES,,YES,,YES,,YES,CALIFORNIA COMMUNITY CENTER,,,324787.25190625,2975.56710999448
40,SUN VALLEY GOLF COURSE,165.66544977,,GOLF,GOLF COURSE,NO,https://louisvilleky.gov/content/sun-valley-golf-course,6505 BETHANY LN,,,,,,,,,,,,,,,,,,,,,,,,,7216358.12624453,17746.5036951705
41,LAPORTE,2.32962104,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/laporte-park,2529 BANK ST,,,,,,,,,YES,,,,YES,,,,,,,,YES,,,,101477.88671875,1599.74918776914
42,ELLIOT SQUARE,3.65249499,,NORTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/elliott-square,630 SOUTH 28TH ST,,YES,,YES,,,,,YES,,,YES,,,,,,,,YES,,,HORSESHOE PIT,,159102.045390625,1597.21569734987
43,EMERSON,1.93486556,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/emerson-park,1100 SYLVIA ST,,,,YES,,,,,YES,,,,,,,,,YES,,,,,COMMUNITY GARDEN,,84282.406553125,1301.7060228204
44,MCNEELY LAKE,438.33559452,,VETTINER,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/mcneely-lake-park,10500 CEDAR CREEK RD,,YES,,YES,,,YES,YES,YES,,YES,,YES,,YES,YES,,YES,YES,,,,MODEL AIRPLANE FIELDS,,19093822.1219539,34795.310029623
45,BOONE SQUARE,4.0184024,,NORTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/boone-square,1935 ROWAN ST,,YES,,YES,,,,,YES,,,,YES,,,,,,,YES,,,,,175040.908203125,1673.5539057824
46,OLD WALNUT / BEECHER,3.58771333,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/old-walnut-street-park,904 WEST MUHAMMAD ALI BLVD,,,,,,,,,YES,,,YES,,,YES,,YES,,YES,,,,,,156280.16769375,1580.92244537405
47,SLEVIN,0.26146603,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/slevin-park,341 NORTH 25TH ST,,,,,,,,,YES,,,,,,,,,,,,,,,,11389.414609375,521.590123155759
48,RUSSELL LEE,17.58048524,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/russell-lee-park,3701 SOUTHERN AVE,,YES,,YES,,,,,YES,,,,YES,,YES,,,,YES,YES,,SOUTHWICK COMMUNITY CENTER,,,765802.874023438,4531.29077950445
49,LONG RUN CEMETERY,1.3961654,,VETTINER,CEMETERY,NO, , ,,,,,,,,,,,,,,,,,,,,,,,,,60816.7215007813,1050.61470004213
50,DAVID ARMSTRONG EXTREME ,2.32619189,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/david-armstrong-extreme-park,148 NORTH CLAY ST,,YES,,,,,,,,,,,,,,,,,,,,,ROLLERBLADING SKATEBOARDING BIKING,YES,101328.51326875,1354.72073298659
51,MAGNOLIA,0.29586936,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/magnolia-park,1407 SOUTH SECOND ST,,,,YES,,,,,YES,,,,,,,,,,,,,,,,12888.017578125,527.332293997429
52,MEDORA,3.62261667,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/medora-park,6210 PENDLETON RD,,,,,,,,,YES,,,,YES,,,,,,,,,,,,157800.55078125,1664.13242122967
53,MEMORIAL,0.94315165,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/memorial-park,971 SOUTH FOURTH ST,,,,,,,,,,,,,,,,,,,,,,,COMMUNITY MOSAIC BENCH,,41083.521484375,810.988799952892
54,G.G. MOORE,0.97354677,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/gg-moore-park,626 M ST,,,,YES,,,,,,,,,YES,,,,,,,YES,YES,,,,42407.5278320313,880.287549808707
55,PARKHILL,6.51277942,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/parkhill-park,1703 SOUTH 13TH ST,,,,YES,,,,,YES,,,,YES,,,,,,,YES,,PARKHILL COMMUNITY CENTER,,,283695.536739063,2180.73693155763
56,PATTERSON,0.11457418,,CHEROKEE,NEIGHBORHOOD PARK,NO, ,1418 MORTON AVE,,,,,,,,,YES,,,,,,,,,,,,,,BENCHES,,4990.8311734375,283.191941210293
57,PEEWEE,2.53423248,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/peewee-park,2913 KLONDIKE LN,,,,YES,,,,,YES,,,,,,,,,,,,,,,,110390.725246094,1851.12564197891
58,HUSTON QUIN,1.95728407,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/huston-quin-park,4105 SOUTH FIRST ST,,,,YES,,,,,YES,,,,YES,,,,,,,YES,,,,,85258.953125,1272.05785354932
59,GINNY REICHARD,0.22343898,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/ginny-reichard-park,1001FRANKLIN ST,,,,,,,,,YES,,,,YES,,,,,,,,,,,,9732.962890625,453.931060172113
60,RIVERSIDE GARDENS,10.43213917,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/riverside-gardens-park,2899 LEES LN,,YES,,YES,,,,,YES,,,,YES,,,,,,,,,,,,454422.164707031,2942.33460651382
61,RIVERVIEW,46.14622932,,SOUTHWEST,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/riverview-park,8202 GREENWOOD RD,,YES,,YES,,,,,YES,,,,YES,,,,,,,,YES,,BOAT RAMP,,2010121.70883516,8944.01737963778
62,"RIVERSIDE, THE FARNSLEY-MOREMAN LANDING",301.10005842,,SOUTHWEST,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/riverside-farnsley-moremen-landing,7410 MOORMAN RD,,YES,,,,,,,,,,,,,,,,,,,,,HISTORIC HOME VISITORS CENTER COMMUNITY GARDEN,,13115866.0812914,25592.8519695794
63,RUBEL,1.54177013,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/rubel-park,667 BARRETAVE,,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,67159.23828125,1192.0790735969
64,SHAWNEE,284.76640117,,NORTHWEST,MAJOR URBAN PARK,YES,https://louisvilleky.gov/government/parks/park-list/shawnee-park,4501 WEST BROADWAY,,YES,,YES,,,,,YES,,YES,,YES,,YES,,,YES,YES,,,,,,12404374.8173828,16155.2822022958
65,SHELBY,16.30880412,,CHEROKEE,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/shelby-park,600 EAST OAK ST,,YES,,YES,,,,,YES,,,,YES,,YES,,,YES,,,YES,SHELBY PARK COMMUNITY CENTER,,,710408.665722656,3916.78635822125
66,STORY AVENUE,1.8341833,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/story-avenue-park,1531 STORY AVE,,,,,,,,,YES,,,,YES,,,,,,YES,,,,,,79896.705078125,1219.99729561486
67,SYLVANIA,10.68186662,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/sylvania-park,6650 SYLVANIA RD,,,,YES,,,,,YES,,,,YES,,YES,,,,,,,,,,465300.248554688,3378.80214758288
68,TWIN PARK,39.92655361,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/twin-park,3145 RIVER RD,,,,,,,,,,,,,,,,,,,,,,,PASSIVE OPEN SPACE,,1739193.71833516,9340.08326589096
69,TYLER,9.28513701,,CHEROKEE,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/tyler-park,1501 CASTLEWOOD AVE,,YES,,YES,,,,,YES,,,,YES,,YES,,YES,YES,,YES,,,,,404458.950097656,4531.64096302296
70,WATTERSON LAKE,10.74094864,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/watterson-lake-park,1714 SOUTH WHEATMORE DR,,,,YES,,,,YES,,,,,,,,,,YES,,,,,,,467873.851074219,3862.42808321713
71,WAYSIDE,0.47121081,,CHEROKEE,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/wayside-park,3190 SOUTH THIRD ST,,,,,,,,,,,,,,,,,,,,,,,WHEELMENS BENCH HISTORIC LANDMARK,,20525.8608398438,772.205277130955
72,WILLOW,1.40933486,,CHEROKEE,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/willow-park, 1402 WILLOW AVE,,YES,,YES,,,,,YES,,,,,,,,,YES,,,,,,,61390.3811179688,1158.84978500445
73,GEORGE ROGERS CLARK,46.48542956,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/george-rogers-clark-park,1024 THRUSTON AVE,,YES,,YES,,,,,YES,,,,YES,,YES,,YES,,YES,YES,,,HISTORIC,,2024897.21206875,7880.99114894361
74,CHEROKEE,337.1145917,,CHEROKEE,MAJOR URBAN PARK,YES,https://louisvilleky.gov/government/parks/park-list/cherokee-park,745 COCHRAN HILL RD,,YES,,YES,,,YES,YES,YES,,,,YES,,YES,,,YES,YES,YES,,,HORSESHOE PIT ARCHERY RANGE,,14684652.8755352,35599.4576237927
75,JEFFERSON MEMORIAL FOREST,6596.00569126,,NATURAL AREAS,REGIONAL PARK,NO,https://louisvilleky.gov/government/jefferson-memorial-forest,11311 MITCHELL HILL,,YES,,YES,YES,,YES,YES,YES,,,,,,,YES,,YES,,,,ENVIRONMENTAL EDUCATION CENTER,WELCOME CENTER,,287320858.62426,386281.177443053
76,E. LELAND TAYLOR,8.81482155,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/e-leland-taylor-park, 317 NORTH 38TH ST,,,,YES,,,,,YES,,,,YES,,,,,,YES,,,SHAWNEE BOYS AND GIRLS CLUB,,,383972.090820313,2570.95954480895
77,SHAWNEE GOLF COURSE,203.59591054,,GOLF,GOLF COURSE,YES,https://louisvilleky.gov/content/shawnee-golf-course,460 NORTHWESTERN PKWY,,,,,,,,,,YES,,,,,,,,,,,,,,,8868602.38872969,19178.3576396136
78,WILLIAM BRITT,0.67487682,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/william-britt-park,2801 MAGAZINE ST,,,,,,,,,,,,,,,,,,YES,,,,,BENCHES,,29397.5166015625,700.748236685988
79,PORTLAND WHARF,38.03092102,,NORTHWEST,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/portland-wharf-park,719 NORTH 32ND ST,,,,,,,,,,,,,,,,,,YES,,,,,ARCHAEOLOGICAL SITE,,1656620.29334297,6198.67795899923
80,PORTLAND,4.08502346,,NORTHWEST,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/portland-park,640 NORTH 27TH ST,,YES,,YES,,,,,YES,,,,YES,,,,YES,,,YES,,PORTLAND COMMUNITY CENTER,,,177942.91015625,1688.39899945041
81,WESTONIA,1.91484354,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/westonia-park, 2900 ROWAN ST,,YES,,,,,,,YES,,,,YES,,,,YES,,,,,,,,83410.25078125,1235.99045636114
82,HIGHVIEW,40.22483638,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/highview-park,7201 OUTER LOOP,,,,YES,,,,,YES,,,,YES,,YES,,,YES,,,,CENTRAL GOVERNMENT CENTER,,,1752186.86395391,5436.53328445029
83,SHEPPARD,1.93187651,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/sheppard-park, 1601 MAGAZINE ST,,,,YES,,,,,YES,,,,YES,,,,,YES,YES,,,,,,84152.2041015625,1245.67855890536
84,OKOLONA,15.22477288,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/okolona-park,1114 CLAY AVE,,YES,,YES,,,,,YES,,,,YES,,YES,,,,YES,,,,,,663188.453832813,3873.35365738227
85,CRESCENT HILL GOLF COURSE,68.69991593,,GOLF,GOLF COURSE,NO,https://louisvilleky.gov/content/crescent-hill-golf-course,3110 BROWNSBORO RD,,,,,,,,,,YES,,,,,,,,,,,,,,,2992556.36780625,9327.62837387222
86,FARNSLEY,4.85883905,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/farnsley-park,3100 WEDGEWOOD WAY,,YES,,YES,,,,,YES,,,,YES,,YES,,,,YES,,YES,,,,211650.182417969,2105.25497433464
87,CROSBY,19.94364371,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/crosby-park,11500 CEDARDALE RD,,YES,,YES,,,,,YES,,,,,,YES,,,,,,,,,,868741.644821875,3950.60130477989
88,VICTORY,4.11933699,,NORTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/victory-park,1051 SOUTH 23RD ST,,YES,,YES,,,,,YES,,,,YES,,,,,YES,,YES,,,COMMUNITYROOM,,179437.6015625,1830.55310883813
89,ST LOUIS,0.5177719,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/st-louis-park,2023 ST LOUIS AVE,,,,,,,,,YES,,,,YES,,,,,,,,,,,,22554.0538898438,601.977416036192
90,DES PRES,27.08620989,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/des-pres-park,4709 LOWE RD,,YES,,YES,,,,,YES,,,,YES,,YES,,YES,,,,,,,,1179870.58326563,5947.03130119158
91,IVY COURT,0.17870297,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/ivy-court-park, 3245 LARKWOOD AVE,,,,,,,,,YES,,,,,,,,,,,,,,,,7784.27044921875,427.740524660678
92,LONG RUN GOLF COURSE,158.08142747,,GOLF,GOLF COURSE,NO,https://louisvilleky.gov/content/long-run-golf-course,1605 FLAT ROCK RD,,,,,,,,,,,,,,,,,,,,,,,,,6885999.43634922,12297.8999804589
93,SUN VALLEY,39.52674136,,SOUTHWEST,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/sun-valley-park,6505 BETHANY LN,,YES,,YES,,YES,,,YES,,YES,,YES,,YES,,YES,,YES,,,SUN VALLEY COMMUNITY CENTER,,,1721777.96634844,7973.40181556636
94,CHARLIE VETTINER GOLF COURSE,178.17106368,,GOLF,GOLF COURSE,NO,https://louisvilleky.gov/content/charlie-vettiner-golf-course,10207 MARY DELL LN,,,,,,,,,,YES,,,,,,,,,,,,,,,7761100.48936406,15482.5564618056
95,WAVERLY,185.95099204,,NATURAL AREAS,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/waverly-park, 4800 WAVERLY PARK RD,,,,YES,,,YES,YES,YES,,,,,,YES,,,,,,,,ARCHERY RANGE,,8099992.81321875,15166.8158880955
96,CHARLIE VETTINER,102.05017528,,VETTINER,MAJOR URBAN PARK,NO,https://louisvilleky.gov/government/parks/park-list/charlie-vettiner-park,5550 CHARLIE VETTINER PARK RD,,YES,,YES,,,,YES,YES,,,,YES,,YES,,YES,YES,,,,,DOG RUN DISC GOLF COURSE MODEL AIRPLANE,,4445287.85380547,8830.2847337309
97,IROQUOIS,590.95315107,,SOUTHWEST,MAJOR URBAN PARK,YES,https://louisvilleky.gov/government/parks/park-list/iroquois-park,2120 RUNDILL RD,,YES,,YES,,,YES,YES,YES,,,,YES,,YES,YES,YES,YES,,,YES,IROQUOIS PARK AMPHITHEATER,ARCHERY RANGE DISC GOLF COURSE,,25741816.2928625,23948.420231941
98,SENECA,123.60256608,,CHEROKEE,MAJOR URBAN PARK,YES,https://louisvilleky.gov/government/parks/park-list/seneca-park,3151 PEE WEE REESE RD,,YES,,YES,,,,,YES,,,,YES,,YES,YES,YES,YES,YES,,,,DRIVING RANDE,,5384106.24182813,27422.8234261915
